_aberration|aberration|sapma
big_data|big data|büyük veri
data_mining|data mining|veri madenciliği
internet_of_things|internet of things|nesnelerin interneti
smart_device|smart device|akıllı cihaz
cloud_computing|cloud computing|bulut bilişim
edge_computing|edge computing|uç bilişim
virtual_reality|virtual reality|sanal gerçeklik
augmented_reality|augmented reality|artırılmış gerçeklik
mixed_reality|mixed reality|karma gerçeklik
cryptocurrency|cryptocurrency|kripto para
blockchain|blockchain|blok zinciri
bitcoin|bitcoin|bitcoin
ethereum|ethereum|ethereum
smart_contract|smart contract|akıllı sözleşme
nfts|nfts|nitelikli fikri tapu
metaverse|metaverse|metaevren
quantum_computing|quantum computing|kuantum bilişim
cybersecurity|cybersecurity|siber güvenlik
hacker|hacker|hacker/bilgisayar korsanı
firewall|firewall|güvenlik duvarı
encryption|encryption|şifreleme
malware|malware|kötü amaçlı yazılım
ransomware|ransomware|fidye yazılımı
phishing|phishing|oltalama
biometrics|biometrics|biyometri
facial_recognition|facial recognition|yüz tanıma
automation|automation|otomasyon
robotics|robotics|robotik
drone|drone|dron/insansız hava aracı
nanotechnology|nanotechnology|nanoteknoloji
biotechnology|biotechnology|biyoteknoloji
fintech|fintech|finansal teknoloji
edtech|edtech|eğitim teknolojisi
healthtech|healthtech|sağlık teknolojisi
saas|saas|yazılım hizmeti
paas|paas|platform hizmeti
iaas|iaas|altyapı hizmeti
serverless|serverless|sunucusuz
api|api|uygulama programlama arayüzü
ui|ui|kullanıcı arayüzü
ux|ux|kullanıcı deneyimi
frontend|frontend|ön uç
backend|backend|arka uç
full_stack|full stack|tam yığın
devops|devops|yazılım geliştirme ve operasyon
agile|agile|çevik (yöntem)
scrum|scrum|scrum (çalışma yöntemi)
kanban|kanban|kanban (iş akışı yönetimi)
sprint|sprint|sprint (yazılım dönemi)
backlog|backlog|iş listesi
bug|bug|hata (yazılım)
patch|patch|yama (yazılım)
version|version|sürüm
repository|repository|depo (kod)
commit|commit|işlemek (kod)
branch|branch|dal (kod)
merge|merge|birleştirmek (kod)
pull_request|pull request|çekme isteği
ci_cd|ci/cd|sürekli entegrasyon ve dağıtım
container|container|konteyner (yazılım)
orchestration|orchestration|orkestrasyon (yazılım)
scalability|scalability|ölçeklenebilirlik
latency|latency|gecikme süresi
bandwidth|bandwidth|bant genişliği
throughput|throughput|iş çıkarma kapasitesi
encryption_1|encryption|şifreleme
decryption|decryption|şifre çözme
hashing|hashing|hashing (veri özeti)
load_balancer|load balancer|yük dengeleyici
proxy|proxy|vekil sunucu
vpn|vpn|sanal özel ağ
firewall_1|firewall|güvenlik duvarı
ids_ips|ids/ips|saldırı tespit ve engelleme sistemi
endpoint|endpoint|uç nokta
microservices|microservices|mikro hizmetler
monolith|monolith|monolit (tek parça yazılım)
legacy_system|legacy system|eski sistem
technical_debt|technical debt|teknik borç
refactoring|refactoring|yeniden yapılandırma (kod)
deployment|deployment|dağıtım/yayına alma
production|production|üretim/canlı ortam
staging|staging|hazırlık ortamı
sandbox|sandbox|kum havuzu/deneme ortamı
virtual_machine|virtual machine|sanal makine
hypervisor|hypervisor|hipervizör
snapshot|snapshot|anlık görüntü
backup|backup|yedekleme
disaster_recovery|disaster recovery|felaket kurtarma
high_availability|high availability|yüksek erişilebilirlik
uptime|uptime|çalışma süresi
downtime|downtime|kapalı kalma süresi
latency_1|latency|gecikme süresi
package_manager|package manager|paket yöneticisi
dependency|dependency|bağımlılık (yazılım)
framework|framework|çerçeve (yazılım)
library|library|kütüphane (yazılım)
open_source|open source|açık kaynak
proprietary_software|proprietary software|özel yazılım
saas_1|saas|yazılım hizmeti
multi_factor_authentication|multi-factor authentication|çok faktörlü kimlik doğrulama
single_sign_on|single sign-on|tekli oturum açma
encryption_key|encryption key|şifreleme anahtarı
digital_signature|digital signature|dijital imza
ssl_tls|ssl/tls|güvenli soket katmanı
token|token|belirteç
jwt|jwt|json web token
oauth|oauth|oauth (yetkilendirme)
api_key|api key|api anahtarı
webhook|webhook|web kancası
rest_api|rest api|rest api
graphql|graphql|graphql
websocket|websocket|websocket
responsive_design|responsive design|duyarlı tasarım
wireframe|wireframe|taslak çizim
prototype|prototype|prototip
mockup|mockup|maket/taslak
ide|ide|bütünleşik geliştirme ortamı
vcs|vcs|sürüm kontrol sistemi
git|git|git (sürüm kontrolü)
github|github|github
bitbucket|bitbucket|bitbucket
gitlab|gitlab|gitlab
agile_manifesto|agile manifesto|çevik bildiri
standup_meeting|standup meeting|ayaküstü toplantı
retrospective|retrospective|retrospektif/geçmişe bakış
velocity|velocity|hız (yazılım)
burn_down_chart|burn down chart|kalan iş grafiği
user_story|user story|kullanıcı hikayesi
acceptance_criteria|acceptance criteria|kabul kriterleri
mvp|mvp|minimum uygulanabilir ürün
ab_testing|ab testing|a/b testi
conversion_rate|conversion rate|dönüşüm oranı
churn_rate|churn rate|kayıp oranı (müşteri)
scalability_1|scalability|ölçeklenebilirlik
horizontal_scaling|horizontal scaling|yatay ölçekleme
vertical_scaling|vertical scaling|dikey ölçekleme
high_performance|high performance|yüksek performans
latency_2|latency|gecikme süresi
concurrency|concurrency|aynı anda çalışma
parallelism|parallelism|paralellik
thread|thread|iş parçacığı
deadlock|deadlock|çıkmaz/kilitlenme
race_condition|race condition|yarış durumu (yazılım)
mutex|mutex|karşılıklı dışlama (yazılım)
semaphore|semaphore|semafor (yazılım)
asynchronous|asynchronous|asenkron/eşzamansız
inflation|inflation|enflasyon
deflation|deflation|deflasyon
recession|recession|resesyon/ekonomik durgunluk
depression|depression|depresyon/büyük çöküş
gdp|gdp|gsyh (gayri safi yurtiçi hasıla)
interest_rate|interest rate|faiz oranı
monetary_policy|monetary policy|para politikası
fiscal_policy|fiscal policy|maliye politikası
deficit|deficit|açık (bütçe)
surplus|surplus|fazla (bütçe)
liquidity|liquidity|likidite/nakit akışı
asset|asset|varlık/aktif
liability|liability|yükümlülük/pasif
equity|equity|özsermaye/hakkaniyet
dividends|dividends|kar payı/temettü
shareholder|shareholder|hissedar
stock_market|stock market|borsa
bull_market|bull market|boğa piyasası (yükselen)
bear_market|bear market|ayı piyasası (düşen)
portfolio|portfolio|portföy
diversification|diversification|çeşitlendirme
leverage|leverage|kaldıraç
arbitrage|arbitrage|arbitraj (fiyat farkından kar)
commodity|commodity|emtia/ticari mal
derivatives|derivatives|türev araçlar
hedge_fund|hedge fund|serbest fon/riskten korunma fonu
insider_trading|insider trading|içeriden öğrenenlerin ticareti
mortgage|mortgage|ipotekli konut kredisi
foreclosure|foreclosure|rehinli malın satışı/icra
bankruptcy|bankruptcy|iflas
insolvency|insolvency|borçlarını ödeyememe
merger|merger|birleşme (şirket)
acquisition|acquisition|satın alma (şirket)
monopoly|monopoly|tekel
oligopoly|oligopoly|oligopol (az sayıda satıcı)
cartel|cartel|kartel
protectionism|protectionism|korumacılık
tariff|tariff|gümrük vergisi
quota|quota|kota
embargo|embargo|ambargo
sanctions|sanctions|yaptırımlar
austerity|austerity|kemer sıkma (ekonomik)
privatization|privatization|özelleştirme
nationalization|nationalization|devletleştirme
subsidy|subsidy|sübvansiyon/maddi yardım
stimulus|stimulus|teşvik/canlandırma
bailout|bailout|kurtarma (finansal)
microeconomics|microeconomics|mikroekonomi
macroeconomics|macroeconomics|makroekonomi
opportunity_cost|opportunity cost|fırsat maliyeti
comparative_advantage|comparative advantage|karşılaştırmalı üstünlük
supply_and_demand|supply and demand|arz ve talep
equilibrium|equilibrium|denge
elasticity|elasticity|esneklik
utility|utility|fayda
marginal|marginal|marjinal/sınırdaki
externality|externality|dışsallık
public_good|public good|kamu malı
free_rider|free rider|bedavacı
asymmetric_information|asymmetric information|asimetrik bilgi
adverse_selection|adverse selection|ters seçim
moral_hazard|moral hazard|ahlaki tehlike
game_theory|game theory|oyun teorisi
nash_equilibrium|nash equilibrium|nash dengesi
behavioral_economics|behavioral economics|davranışsal ekonomi
nudge|nudge|dürtme/hafifçe itme
human_capital|human capital|beşeri sermaye
social_capital|social capital|sosyal sermaye
intellectual_property|intellectual property|fikri mülkiyet
patent|patent|patent
trademark|trademark|ticari marka
copyright|copyright|telif hakkı
royalty|royalty|telif ücreti/rödovans
outsourcing|outsourcing|dış kaynak kullanımı
offshoring|offshoring|offshoring/işi yurt dışına taşıma
globalization|globalization|küreselleşme
trade_barrier|trade barrier|ticaret engeli
free_trade|free trade|serbest ticaret
fair_trade|fair trade|adil ticaret
protectionism_1|protectionism|korumacılık
sovereign_debt|sovereign debt|egemen borç/devlet borcu
debt_restructuring|debt restructuring|borç yapılandırması
credit_rating|credit rating|kredi notu
default|default|temerrüt/borcu ödeyememe
bond|bond|tahvil
yield|yield|getiri/verim
maturity|maturity|vade
liquidity_1|liquidity|likidite/nakit akışı
capital_gain|capital gain|sermaye kazancı
capital_loss|capital loss|sermaye kaybı
volatility|volatility|volatilite/oynaklık
speculation|speculation|spekülasyon
arbitrage_1|arbitrage|arbitraj
hedging|hedging|riskten korunma
derivative|derivative|türev araç
futures|futures|vadeli işlemler
options|options|opsiyonlar
swap|swap|takas (finansal)
leverage_1|leverage|kaldıraç
underwriting|underwriting|sigorta altına alma/taahhüt etme
ipo|ipo|halka arz
blue_chip|blue chip|mavi çipli (güvenilir şirket)
index_fund|index fund|endeks fonu
etf|etf|borsa yatırım fonu
mutual_fund|mutual fund|yatırım fonu
pension_fund|pension fund|emeklilik fonu
sovereign_wealth_fund|sovereign wealth fund|ulusal varlık fonu
capitalism|capitalism|kapitalizm
socialism|socialism|sosyalizm
communism|communism|komünizm
mixed_economy|mixed economy|karma ekonomi
command_economy|command economy|komuta ekonomisi
market_economy|market economy|piyasa ekonomisi
laissez_faire|laissez-faire|bırakınız yapsınlar
mercantilism|mercantilism|merkantilizm
globalization_1|globalization|küreselleşme
outsourcing_1|outsourcing|dış kaynak kullanımı
offshoring_1|offshoring|offshoring
brain_drain|brain drain|beyin göçü
foreign_direct_investment|foreign direct investment|doğrudan yabancı yatırım
remittance|remittance|havale (yurt dışından gönderilen para)
microfinance|microfinance|mikrofinans
sustainability|sustainability|sürdürülebilirlik
circular_economy|circular economy|döngüsel ekonomi
green_economy|green economy|yeşil ekonomi
shadow_economy|shadow economy|kayıt dışı ekonomi
black_market|black market|karaborsa
money_laundering|money laundering|para aklama
tax_evasion|tax evasion|vergi kaçırma
tax_haven|tax haven|vergi cenneti
inequality|inequality|eşitsizlik
gini_coefficient|gini coefficient|gini katsayısı
poverty_line|poverty line|yoksulluk sınırı
standard_of_living|standard of living|yaşam standardı
cost_of_living|cost of living|yaşam maliyeti
purchasing_power|purchasing power|satın alma gücü
ppp|ppp|sagp (satın alma gücü paritesi)
human_development_index|human development index|insani gelişme endeksi
universal_basic_income|universal basic income|evrensel temel gelir
accountant|accountant|muhasebeci
architect|architect|mimar
artist|artist|sanatçı
astronaut|astronaut|astronot
attorney|attorney|avukat
baker|baker|fırıncı
barber|barber|berber
bartender|bartender|barmen
biologist|biologist|biyolog
blacksmith|blacksmith|demirci
butcher|butcher|kasap
carpenter|carpenter|marangoz
chef|chef|şef/aşçıbaşı
chemist|chemist|kimyager
clerk|clerk|tezgahtar/memur
coach|coach|koç/antrenör
dentist|dentist|diş hekimi
detective|detective|dedektif
doctor|doctor|doktor
driver|driver|şoför
economist|economist|ekonomist
editor|editor|editör
electrician|electrician|elektrikçi
engineer|engineer|mühendis
farmer|farmer|çiftçi
firefighter|firefighter|itfaiyeci
fisherman|fisherman|balıkçı
florist|florist|çiçekçi
gardener|gardener|bahçıvan
geologist|geologist|jeolog
hairdresser|hairdresser|kuaför
historian|historian|tarihçi
journalist|journalist|gazeteci
judge|judge|hakim
librarian|librarian|kütüphaneci
mechanic|mechanic|tamirci
model|model|model
musician|musician|müzisyen
nurse|nurse|hemşire
optician|optician|gözlükçü
painter|painter|ressam/boyacı
pharmacist|pharmacist|eczacı
photographer|photographer|fotoğrafçı
pilot|pilot|pilot
plumber|plumber|tesisatçı
policeman|policeman|polis memuru
politician|politician|politikacı
postman|postman|postacı
professor|professor|profesör
psychologist|psychologist|psikolog
receptionist|receptionist|resepsiyonist
sailor|sailor|denizci
scientist|scientist|bilim insanı
secretary|secretary|sekreter
soldier|soldier|asker
surgeon|surgeon|cerrah
tailor|tailor|terzi
teacher|teacher|öğretmen
technician|technician|teknisyen
translator|translator|tercüman
veterinary|veterinary|veteriner
waiter|waiter|garson
writer|writer|yazar
zoologist|zoologist|zoolog
web_developer|web developer|web geliştiricisi
data_scientist|data scientist|veri bilimci
marketing_manager|marketing manager|pazarlama müdürü
sales_representative|sales representative|satış temsilcisi
customer_service_agent|customer service agent|müşteri hizmetleri temsilcisi
human_resources_manager|human resources manager|insan kaynakları müdürü
project_manager|project manager|proje yöneticisi
financial_advisor|financial advisor|finansal danışman
real_estate_agent|real estate agent|emlakçı
social_media_manager|social media manager|sosyal medya yöneticisi
graphic_designer|graphic designer|grafik tasarımcı
copywriter|copywriter|reklam yazarı
ux_designer|ux designer|ux tasarımcı
content_creator|content creator|içerik üreticisi
event_planner|event planner|etkinlik planlayıcısı
travel_agent|travel agent|seyahat acentesi
flight_attendant|flight attendant|kabin memuru
chef_de_cuisine|chef de cuisine|mutfak şefi
sommelier|sommelier|sommelier/şarap uzmanı
fitness_instructor|fitness instructor|fitness eğitmeni
physiotherapist|physiotherapist|fizyoterapist
occupational_therapist|occupational therapist|ergoterapist
speech_therapist|speech therapist|konuşma terapisti
paramedic|paramedic|paramedik
radiologist|radiologist|radyolog
anesthesiologist|anesthesiologist|anestezi uzmanı
electrician_1|electrician|elektrikçi
plumber_1|plumber|tesisatçı
hvac_technician|hvac technician|hvac teknisyeni
welder|welder|kaynakçı
machinist|machinist|makinist/makine operatörü
carpenter_1|carpenter|marangoz
mason|mason|duvar ustası
roofer|roofer|çatı ustası
surveyor|surveyor|haritacı/kadastrocu
landscaper|landscaper|peyzaj mimarı/bahçıvan
garbage_collector|garbage collector|çöpçü
janitor|janitor|kapıcı/hademe
security_guard|security guard|güvenlik görevlisi
bouncer|bouncer|fedai
bodyguard|bodyguard|koruma
librarian_1|librarian|kütüphaneci
curator|curator|küratör/müze müdürü
archivist|archivist|arşivci
translator_1|translator|tercüman
interpreter|interpreter|tercüman (sözlü)
subtitler|subtitler|altyazı çevirmeni
voice_actor|voice actor|seslendirme sanatçısı
news_anchor|news anchor|haber bülteni sunucusu
meteorologist|meteorologist|meteorolog
clergyman|clergyman|din adamı
missionary|missionary|misyoner
philosopher|philosopher|filozof
sociologist|sociologist|sosyolog
anthropologist|anthropologist|antropolog
archaeologist|archaeologist|arkeolog
paleontologist|paleontologist|paleontolog
astronomer|astronomer|astronom
physicist|physicist|fizikçi
mathematician|mathematician|matematikçi
statistician|statistician|istatistikçi
actuary|actuary|aktüer/sigorta istatistikçisi
underwriter|underwriter|sigorta risk uzmanı
broker|broker|komisyoncu/borsacı
trader|trader|tüccar/borsacı
cashier|cashier|kasiyer
teller|teller|banka veznedarı
loan_officer|loan officer|kredi memuru
notary|notary|noter
clerk_of_court|clerk of court|mahkeme katibi
bailiff|bailiff|icra memuru/mübaşir
paralegal|paralegal|hukuk asistanı
prosecutor|prosecutor|savcı
defense_lawyer|defense lawyer|savunma avukatı
barrister|barrister|dava vekili
solicitor|solicitor|hukuk müşaviri
legal_counsel|legal counsel|hukuk danışmanı
diplomat|diplomat|diplomat
ambassador|ambassador|büyükelçi
consul|consul|konsolos
apartment|apartment|daire
house|house|ev
kitchen|kitchen|mutfak
bedroom|bedroom|yatak odası
bathroom|bathroom|banyo
living_room|living room|oturma odası
dining_room|dining room|yemek odası
garden|garden|bahçe
garage|garage|garaj
balcony|balcony|balkon
roof|roof|çatı
wall|wall|duvar
floor|floor|yer/zemin
ceiling|ceiling|tavan
window|window|pencere
door|door|kapı
stairs|stairs|merdiven
furniture|furniture|mobilya
table|table|masa
chair|chair|sandalye
sofa|sofa|kanepe
bed|bed|yatak
wardrobe|wardrobe|elbise dolabı
desk|desk|çalışma masası
shelf|shelf|raf
carpet|carpet|halı
curtain|curtain|perde
mirror|mirror|ayna
lamp|lamp|lamba
clock|clock|saat
television|television|televizyon
radio|radio|radyo
computer|computer|bilgisayar
refrigerator|refrigerator|buzdolabı
freezer|freezer|derin dondurucu
oven|oven|fırın
microwave|microwave|mikrodalga fırın
dishwasher|dishwasher|bulaşık makinesi
washing_machine|washing machine|çamaşır makinesi
vacuum_cleaner|vacuum cleaner|elektrikli süpürge
iron|iron|ütü
toaster|toaster|ekmek kızartma makinesi
kettle|kettle|çaydanlık/su ısıtıcısı
plate|plate|tabak
bowl|bowl|kase
cup|cup|fincan/kupa
glass|glass|bardak
knife|knife|bıçak
fork|fork|çatal
spoon|spoon|kaşık
pan|pan|tava
pot|pot|tencere
blanket|blanket|battaniye
pillow|pillow|yastık
sheet|sheet|çarşaf
towel|towel|havlu
soap|soap|sabun
shampoo|shampoo|şampuan
toothbrush|toothbrush|diş fırçası
toothpaste|toothpaste|diş macunu
shaving_cream|shaving cream|tıraş köpüğü
razor|razor|tıraş bıçağı
comb|comb|tarak
hairbrush|hairbrush|saç fırçası
mirror_1|mirror|ayna
makeup|makeup|makyaj
perfume|perfume|parfüm
clothes|clothes|giysiler
shirt|shirt|gömlek
trousers|trousers|pantolon
dress|dress|elbise
skirt|skirt|etek
jacket|jacket|ceket
coat|coat|palto/kaban
shoes|shoes|ayakkabı
socks|socks|çorap
underwear|underwear|iç çamaşırı
hat|hat|şapka
gloves|gloves|eldiven
scarf|scarf|atkı
belt|belt|kemer
tie|tie|kravat
watch|watch|saat (kol)
jewelry|jewelry|mücevher
glasses|glasses|gözlük
wallet|wallet|cüzdan
bag|bag|çanta
key|key|anahtar
phone|phone|telefon
newspaper|newspaper|gazete
magazine|magazine|dergi
book|book|kitap
pen|pen|kalem (tükenmez)
pencil|pencil|kalem (kurşun)
paper|paper|kağıt
envelope|envelope|zarf
stamp|stamp|pul
letter|letter|mektup
package|package|paket/koli
money|money|para
wallet_1|wallet|cüzdan
credit_card|credit card|kredi kartı
receipt|receipt|makbuz/fiş
shopping|shopping|alışveriş
market|market|pazar/market
supermarket|supermarket|süpermarket
bakery|bakery|fırın
butcher_1|butcher|kasap
pharmacy|pharmacy|eczane
hospital|hospital|hastane
doctor_1|doctor|doktor
dentist_1|dentist|diş hekimi
school|school|okul
university|university|üniversite
library_1|library|kütüphane
park|park|park
street|street|sokak/cadde
road|road|yol
bus|bus|otobüs
train|train|tren
taxi|taxi|taksi
bicycle|bicycle|bisiklet
car|car|araba
airplane|airplane|uçak
airport|airport|havaalanı
station|station|istasyon
hotel|hotel|otel
restaurant|restaurant|restoran
cafe|cafe|kafe
cinema|cinema|sinema
theater|theater|tiyatro
museum|museum|müze
bank|bank|banka
post_office|post office|postane
church|church|kilise
mosque|mosque|cami
synagogue|synagogue|havra/sinagog
temple|temple|tapınak
holiday|holiday|tatil
weather|weather|hava durumu
sun|sun|güneş
rain|rain|yağmur
snow|snow|kar
wind|wind|rüzgar
cloud|cloud|bulut
sky|sky|gökyüzü
star|star|yıldız
moon|moon|ay
continent|continent|kıta
country|country|ülke
ocean|ocean|okyanus
sea|sea|deniz
river|river|nehir
lake|lake|göl
mountain|mountain|dağ
hill|hill|tepe
valley|valley|vadi
desert|desert|çöl
island|island|ada
peninsula|peninsula|yarımada
archipelago|archipelago|takımada
bay|bay|körfez
gulf|gulf|körfez (büyük)
strait|strait|boğaz (su)
canal|canal|kanal
cape|cape|burun (coğrafi)
plain|plain|ova/düzlük
plateau|plateau|plato/yayla
forest|forest|orman
jungle|jungle|balta girmemiş orman
savanna|savanna|savan
tundra|tundra|tundra
glacier|glacier|buzul
volcano|volcano|volkan
earthquake|earthquake|deprem
tsunami|tsunami|tsunami
hurricane|hurricane|kasırga
tornado|tornado|hortum/tornado
climate|climate|iklim
atmosphere|atmosphere|atmosfer
equator|equator|ekvator
latitude|latitude|enlem
longitude|longitude|boylam
hemisphere|hemisphere|yarımküre
poles|poles|kutuplar
arctic|arctic|arktik/kuzey kutbu bölgesi
antarctic|antarctic|antarktik/güney kutbu bölgesi
region|region|bölge
territory|territory|toprak/bölge
border|border|sınır
boundary|boundary|sınır/limit
coast|coast|sahil
shore|shore|kıyı
beach|beach|plaj
delta|delta|delta
estuary|estuary|nehir ağzı
lagoon|lagoon|lagün/deniz kulağı
reef|reef|resif
fjord|fjord|fiyort
canyon|canyon|kanyon
gorge|gorge|dar boğaz/kanyon
cliff|cliff|uçurum
cave|cave|mağara
marsh|marsh|bataklık
swamp|swamp|bataklık (ormanlı)
prairie|prairie|çayır/bozkır
steppe|steppe|bozkır/step
highland|highland|yayla/yüksek bölge
lowland|lowland|alçak bölge/ova
metropolis|metropolis|metropol
suburb|suburb|varoş/banliyö
outskirts|outskirts|kenar mahalleler/dış kesimler
rural|rural|kırsal
urban|urban|kentsel
settlement|settlement|yerleşim yeri
village|village|köy
town|town|kasaba
city|city|şehir
capital|capital|başkent
province|province|eyalet/vilayet
state|state|eyalet/devlet
latitude_1|latitude|enlem
longitude_1|longitude|boylam
altimeter|altimeter|altimetre/irtifa ölçer
altitude|altitude|irtifa/yükseklik
elevation|elevation|yükseklik/rakım
horizon|horizon|ufuk
landscape|landscape|manzara/peyzaj
scenery|scenery|manzara/doğa görünümü
topography|topography|topoğrafya
cartography|cartography|haritacılık
atlas|atlas|atlas
globe|globe|yer küre
compass|compass|pusula
north|north|kuzey
south|south|güney
east|east|doğu
west|west|batı
equinox|equinox|ekinoks
solstice|solstice|gün dönümü
tide|tide|gelgit
current|current|akıntı
erosion|erosion|erozyon/aşınma
sediment|sediment|tortu/çökelti
stratum|stratum|tabaka/katman
tectonics|tectonics|tektonik
fault|fault|fay (hattı)
epicenter|epicenter|merkez üssü
aftershock|aftershock|artçı sarsıntı
magma|magma|magma
lava|lava|lav
geyser|geyser|gayzer
hot_spring|hot spring|kaplıca
basin|basin|havza/leğen
tributary|tributary|yan kol (nehir)
confluence|confluence|birleşim yeri (nehirler)
mouth|mouth|nehir ağzı
source|source|kaynak (nehir)
upstream|upstream|akıntıya karşı/yukarı akış
